Route 101,265,2,263,2,265,2,265,3,263,3,263,3,265,3,263,3,261,2,261,2,261,3,261,3;
Route 102,263,3,265,3,263,4,265,4,273,3,273,4,261,3,261,3,261,4,280,4,261,4,283,3;
Route 103,263,2,263,3,263,3,263,4,261,2,261,3,261,3,261,4,278,3,278,3,278,2,278,4;
Route 104,263,4,265,4,263,5,265,5,263,4,263,5,276,4,276,5,278,4,278,4,278,3,278,5;
Route 110,263,12,309,12,316,12,309,13,312,13,043,13,312,13,316,13,278,12,278,12,311,12,311,13;
Route 111,027,20,328,20,027,21,328,21,331,19,331,21,027,19,328,19,343,20,343,20,343,22,343,22;
Route 112,322,15,322,15,066,15,322,14,322,14,066,14,322,16,066,16,322,16,322,16,322,16,322,16;
Route 113,327,15,327,15,027,15,327,14,327,14,027,14,327,16,027,16,327,16,227,16,327,16,227,16;
Route 114,333,16,273,16,333,17,333,15,273,15,335,16,274,16,274,18,335,17,335,15,335,17,283,15;
Route 115,333,23,276,23,333,25,276,24,276,25,277,25,039,24,039,25,278,24,278,24,278,26,278,25;
Route 116,263,6,293,6,290,6,293,7,290,7,276,6,276,7,276,8,263,7,263,8,300,7,300,8;
Route 117,263,13,315,13,263,14,315,14,183,13,043,13,314,13,314,13,314,14,314,14,313,13,283,13;
Route 118,263,24,309,24,263,26,309,26,264,26,310,26,278,25,278,25,278,26,278,26,278,27,352,25;
Route 119,263,25,264,25,263,27,043,25,264,27,043,26,043,27,043,24,357,25,357,26,357,27,352,25;
Route 120,263,25,264,25,264,27,043,25,183,25,043,26,043,27,183,27,359,25,359,27,352,25,283,25;
Route 121,263,26,355,26,264,26,355,28,264,28,043,26,043,28,044,28,278,26,278,27,278,28,352,25;
Route 123,263,26,355,26,264,26,355,28,264,28,043,26,043,28,044,28,278,26,278,27,278,28,352,25;
Route 130,360,30,360,35,360,25,360,40,360,20,360,45,360,15,360,50,360,10,360,5,360,10,360,5;
Cave of Origin - Entrance,041,30,041,31,041,32,041,33,041,28,041,29,041,34,041,35,042,34,042,35,042,33,042,36;
Cave of Origin - 1F-B3F,041,30,041,31,041,32,303,30,303,32,303,34,041,33,041,34,042,34,042,35,042,33,042,36;
Fiery Path,322,15,109,15,322,16,066,15,324,15,218,15,109,16,066,16,324,14,324,16,088,14,088,14;
Granite Cave - 1F,041,7,296,8,296,7,041,8,296,9,063,8,296,10,296,6,074,7,074,8,074,6,074,9;
Granite Cave - B2F,041,9,304,10,304,9,304,11,041,10,063,9,296,10,296,11,303,10,303,10,303,9,303,11;
Granite Cave - B1F,041,10,304,11,304,10,041,11,304,12,063,10,303,10,303,11,303,12,303,10,303,12,303,10;
Granite Cave - Steven's Room,041,7,296,8,296,7,041,8,296,9,063,8,296,10,296,6,304,7,304,8,304,7,304,8;
Jagged Pass,322,19,322,19,066,19,322,18,325,18,066,18,325,19,066,20,322,20,325,20,322,20,325,20;
Meteor Falls - 1F-1,041,16,041,17,041,18,041,15,041,14,338,16,338,18,338,14,041,19,041,20,041,19,041,20;
Meteor Falls - 1F-2 & B1F-1,042,33,042,35,042,33,338,35,338,33,338,37,042,35,338,39,042,38,042,40,042,38,042,40;
Meteor Falls - B1F-2,042,33,042,35,371,30,338,35,371,35,338,37,371,25,338,39,042,38,042,40,042,38,042,40;
Mt. Pyre - 1F-3F,355,27,355,28,355,26,355,25,355,29,355,24,355,23,355,22,355,29,355,24,355,29,355,24;
Mt. Pyre - 4F-6F,355,27,355,28,355,26,355,25,355,29,355,24,355,23,355,22,353,27,353,27,353,25,353,29;
Mt. Pyre - Outside,355,28,355,29,355,27,355,26,355,30,355,25,355,24,353,28,353,26,353,30,358,28,358,28;
Mt. Pyre - Summit,355,27,307,27,355,28,307,29,355,29,037,27,037,29,037,25,278,27,278,27,278,26,278,28;
New Mauville,100,24,081,24,100,25,081,25,100,23,081,23,100,26,081,26,100,22,081,22,100,22,081,22;
New Mauville - B1F,100,24,081,24,100,25,081,25,100,23,081,23,100,26,081,26,100,22,081,22,101,26,082,26;
Petalburg Woods,263,5,265,5,285,5,263,6,266,5,268,5,265,6,285,6,276,5,287,5,276,6,287,6;
Rusturf Tunnel,293,6,293,7,293,6,293,6,293,7,293,7,293,5,293,8,293,5,293,8,293,5,293,8;
Safari Zone - Northeast,231,27,043,27,231,29,043,29,177,27,044,29,044,31,177,29,178,29,214,27,178,31,214,29;
Safari Zone - Northwest,111,27,043,27,111,29,043,29,084,27,044,29,044,31,084,29,085,29,127,27,085,31,127,29;
Safari Zone - Southeast,043,25,043,27,203,25,203,27,177,25,084,25,044,25,202,27,025,25,202,27,025,27,202,29;
Safari Zone - Southwest,043,25,043,27,203,25,203,27,177,25,084,25,044,25,202,27,025,25,202,27,025,27,202,29;
Seafloor Cavern,041,30,041,31,041,32,041,33,041,28,041,29,041,34,041,35,042,34,042,35,042,33,042,36;
Shoal Cave - Ice,041,26,363,26,041,28,363,28,041,30,363,30,361,26,363,32,042,30,361,28,042,32,361,30;
Shoal Cave - Main,041,26,363,26,041,28,363,28,041,30,363,30,041,32,363,32,042,32,363,32,042,32,363,32;
Sky Pillar - 1F,303,48,042,48,042,50,303,50,344,48,356,48,356,50,344,49,344,47,344,50,344,47,344,50;
Sky Pillar - 3F,303,51,042,51,042,53,303,53,344,51,356,51,356,53,344,52,344,50,344,53,344,50,344,53;
Sky Pillar - 5F,303,54,042,54,042,56,303,56,344,54,356,54,356,56,344,55,344,56,334,57,334,54,334,60;
Victory Road - 1F,042,40,297,40,305,40,294,40,041,36,296,36,042,38,297,38,304,36,293,36,304,36,293,36;
Victory Road - B1F,042,40,297,40,305,40,308,40,042,38,297,38,042,42,297,42,305,42,307,38,305,42,307,38;
Victory Road - B2F,042,40,303,40,305,40,308,40,042,42,303,42,042,44,303,44,305,42,308,42,305,44,308,44
